day,hour,minute,i_ap
2024-01-01,0,0,0.0
2024-01-01,0,1,0.0
2024-01-01,0,2,0.0
2024-01-01,0,3,0.0
2024-01-01,0,4,0.0
2024-01-01,0,5,0.0
2024-01-01,0,6,0.0
2024-01-01,0,7,0.0
2024-01-01,0,8,0.0
2024-01-01,0,9,0.0
2024-01-01,0,10,0.0
2024-01-01,0,11,0.0
2024-01-01,0,12,0.0
2024-01-01,0,13,0.0
2024-01-01,0,14,0.0
2024-01-01,0,15,0.0
2024-01-01,0,16,0.0
2024-01-01,0,17,0.0
2024-01-01,0,18,0.0
2024-01-01,0,19,0.0
2024-01-01,0,20,0.0
2024-01-01,0,21,0.0
2024-01-01,0,22,0.0
2024-01-01,0,23,0.0
2024-01-01,0,24,0.0
2024-01-01,0,25,0.0
2024-01-01,0,26,0.0
2024-01-01,0,27,0.0
2024-01-01,0,28,0.0
2024-01-01,0,29,0.0
2024-01-01,0,30,0.0
2024-01-01,0,31,0.0
2024-01-01,0,32,0.0
2024-01-01,0,33,0.0
2024-01-01,0,34,0.0
2024-01-01,0,35,0.0
2024-01-01,0,36,0.0
2024-01-01,0,37,0.0
2024-01-01,0,38,0.0
2024-01-01,0,39,0.0
2024-01-01,0,40,0.0
2024-01-01,0,41,0.0
2024-01-01,0,42,0.0
2024-01-01,0,43,0.0
2024-01-01,0,44,0.0
2024-01-01,0,45,0.0
2024-01-01,0,46,0.0
2024-01-01,0,47,0.0
2024-01-01,0,48,0.0
2024-01-01,0,49,0.0
2024-01-01,0,50,0.0
2024-01-01,0,51,0.0
2024-01-01,0,52,0.0
2024-01-01,0,53,0.0
2024-01-01,0,54,0.0
2024-01-01,0,55,0.0
2024-01-01,0,56,0.0
2024-01-01,0,57,0.0
2024-01-01,0,58,0.0
2024-01-01,0,59,0.0
2024-01-01,1,0,0.0
2024-01-01,1,1,0.0
2024-01-01,1,2,0.0
2024-01-01,1,3,0.0
2024-01-01,1,4,0.0
2024-01-01,1,5,0.0
2024-01-01,1,6,0.0
2024-01-01,1,7,0.0
2024-01-01,1,8,0.0
2024-01-01,1,9,0.0
2024-01-01,1,10,0.0
2024-01-01,1,11,0.0
2024-01-01,1,12,0.0
2024-01-01,1,13,0.0
2024-01-01,1,14,0.0
2024-01-01,1,15,0.0
2024-01-01,1,16,0.0
2024-01-01,1,17,0.0
2024-01-01,1,18,0.0
2024-01-01,1,19,0.0
2024-01-01,1,20,0.0
2024-01-01,1,21,0.0
2024-01-01,1,22,0.0
2024-01-01,1,23,0.0
